ChEMBL ID,Smiles,IC50 (nM),pIC50
CHEMBL3276846,Oc1cc(O)n2ncc(-c3ccc4c(c3)OCO4)c2n1,29,7.537602002
CHEMBL3331616,Cc1nc(-c2ccc(OCCC(C)C)c(C#N)c2)[se]c1C(=O)O,29.2,7.534617149
CHEMBL4748434,CCC(CC)COc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,29.8,7.525783736
CHEMBL4580079,N#Cc1cc(-c2ncc(C(=O)O)c(=O)[nH]2)ccc1OCc1ccc(Br)cc1,29.8,7.525783736
CHEMBL1079331,Cc1cc(-c2nc(-c3ccc(Cl)c([N+](=O)[O-])c3)n[nH]2)ccn1,30,7.522878745
CHEMBL4757509,CC1CCN(c2ccc(-n3cnc(C(=O)O)c3)cc2C#N)CC1,30.5,7.515700161
CHEMBL3331619,COc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,30.6,7.514278574
CHEMBL4453043,N#Cc1cccc(COc2ccc(NC(=O)c3ccncc3)cc2-n2cnnn2)c1,31,7.508638306
CHEMBL3628193,Cc1nc(-c2ccc(OCCC(C)C)c(C#N)c2)n(O)c1C(=O)O,31.62,7.500038134
CHEMBL3628194,CCCCCCOc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,31.62,7.500038134
CHEMBL171819,CC(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1[N+](=O)[O-],33,7.48148606
